old_name,new_name
nowa_n4_gen3_ar15_lower_receiver_ar9,novacek_n4_gen3_ar15_lower_receiver_ar9
nowa_n4_gen3_ar15_lower_receiver,novacek_n4_gen3_ar15_lower_receiver
nowa_gen3_ar15_upper_receiver,novacek_gen3_ar15_upper_receiver
nowa_marked_vyctor_mur1s_ar15_upper_receiver,novacek_marked_vyctor_mur1s_ar15_upper_receiver
nowa_love_ar15_charging_handle,novacek_love_ar15_charging_handle
nowa_n4_nsr_gen3_handguard_9.15inch,novacek_n4_nsr_gen3_handguard_9.15inch
unity_fast_micro_mount,harmony_fast_micro_mount
aeroknox_ax15_lower_receiver_ar9,equinox_ex15_lower_receiver_ar9
aeroknox_ax15_lower_receiver,equinox_ex15_lower_receiver
aeroknox_ax15_endplate,equinox_ex15_endplate
aeroknox_ax15_upper_receiver,equinox_ex15_upper_receiver
aeroknox_ae01_muzzle_brake,equinox_ae01_muzzle_brake
aeroknox_ax15_orion_pistol_grip,equinox_ex15_orion_pistol_grip
aeroknox_ax15_10.5inch_handguard,equinox_ex15_10.5inch_handguard
aeroknox_ax_mlok_grip,equinox_ex_mlok_grip
aeroknox_ax_mp5_trigger_housing,equinox_ex_mp5_trigger_housing
aeroknox_ax_mp5_modified_trigger_housing,equinox_ex_mp5_modified_trigger_housing
aeroknox_ax15_front_sight,equinox_ex15_front_sight
aeroknox_ax15_front_sight_folded,equinox_ex15_front_sight_folded
aeroknox_ax15_rear_sight,equinox_ex15_rear_sight
aeroknox_ax15_rear_sight_folded,equinox_ex15_rear_sight_folded
aeroknox_ax15_front_sight_base,equinox_ex15_front_sight_base
aeroknox_ax15_rear_sight_base,equinox_ex15_rear_sight_base
aeroknox_plus_5_pmag_mag_extension,equinox_plus_5_pmag_mag_extension
aeroknox_ax_mlok_cover,equinox_ex_mlok_cover
aeroknox_ax_mlok_cover_flipped,equinox_ex_mlok_cover_flipped
troy_claymore556,talvern_claymore_5.56x45_muzzle_brake
troy_battlesight_round_aperture,talvern_battlesight_round_aperture
troy_battlesight_round_aperture_for_folded,talvern_battlesight_round_aperture_for_folded
troy_battlesight_std_front_post,talvern_battlesight_std_front_post
troy_front_hk_battlesight,talvern_front_hk_battlesight
troy_front_hk_battlesight_folded,talvern_front_hk_battlesight_folded
troy_rear_battlesight,talvern_rear_battlesight
troy_rear_battlesight_folded,talvern_rear_battlesight_folded
troy_battlesight_picatinny_base,talvern_battlesight_picatinny_base
troy_m7a1_pdw_extendable_stock,talvern_m7a1_pdw_extendable_stock
troy_m7a1_pdw_ar15_bcg,talvern_m7a1_pdw_ar15_bcg
troy_m7a1_pdw_base_stock,talvern_m7a1_pdw_base_stock
troy_enhanced_ar15_trigger_guard,talvern_enhanced_ar15_trigger_guard
magtap_moe_carbine_stock,magtap_moa_carbine_stock
magtap_moe_butt_pad,magtap_moa_butt_pad
magtap_moe_sl_k_carbine_stock,magtap_moa_sl_k_carbine_stock
magtap_moe_sl_k_carbine_stock_buttpad,magtap_moa_sl_k_carbine_stock_buttpad
virticon_compact_acog_3x24_ta50c_green,virticon_compact_arcs_3x24_ta50c_green
virticon_compact_acog_3x24_ta50c_red,virticon_compact_arcs_3x24_ta50c_red
virticon_acog_ta01_4x_scope_carry_handle,virticon_arcs_ta01_4x_scope_carry_handle
virticon_acog_ta11d_bac_carry_handle,virticon_arcs_ta11d_bac_carry_handle
virticon_acog_ta31_comspec_4x_scope_carry_handle,virticon_arcs_ta31_comspec_4x_scope_carry_handle
virticon_acog_ta31_milspec_4x_scope_carry_handle,virticon_arcs_ta31_milspec_4x_scope_carry_handle
virticon_acog_ta01_4x_scope,virticon_arcs_ta01_4x_scope
virticon_acog_ta11d_bac,virticon_arcs_ta11d_bac
virticon_acog_ta31_comspec_4x_scope,virticon_arcs_ta31_comspec_4x_scope
virticon_acog_ta31_milspec_4x_scope,virticon_arcs_ta31_milspec_4x_scope
virticon_rm35_acog_mount,virticon_rm35_arcs_mount
virticon_compact_acog_ac12041_mount,virticon_compact_arcs_ac12041_mount
